,Hotel_name,Hotel_address,Hotel_price,Rating,Amenities
40,OYO 73610 Home Tree Service Apartment,"Plot no 23/13, Sakthi krishna apartment, coats road , North usman street, T nagar, Chennai - 600017",₹999,4 (956 Ratings),"Hair Dryer, Parking Facility, Reception"
41,SPOT ON 76130 Jeyam Guest House,"Near Arumbakkam Metro Station, Loganathan Nagar 2nd street, Chennai",₹935,4.5 (903 Ratings),"TV, Parking Facility, Free Wifi"
42,SPOT ON 6856 Eshi Guest House,"Near Ampa Skywalk , Aminjikarai, Chennai",₹799,3.6 (222 Ratings),"Elevator, Reception, Power backup"
43,SPOT ON 80902 Kvr Guest House And Lodge,"India, Chennai",₹699,4 (777 Ratings),"Reception, Daily Housekeeping, Security"
44,OYO Townhouse 091 Nungambakkam,"Near Taj Coromandel, Nungambakkam, Chennai",₹1782,4.2 (2376 Ratings),"Parking Facility, Reception, Free Wifi"
45,OYO 75927 Pride Hospitality,"Near GG fertility hosppital, Tirumurthy Nagar, Chennai",₹1658,4.2 (348 Ratings),"Reception, Free Wifi, AC"
46,OYO 79007 Collection O Cinecity,"Kodambakkam, Chennai",₹1838,4.3 (1284 Ratings),"Private Entrance, Parking Facility, Reception"
47,Collection O 81917 Value Home Service ,"Chennai District, Chennai",₹1354,4.4 (166 Ratings),"Elevator, Free Wifi, Power backup"
48,OYO Flagship 84186 Gold Residency Central,"India, Chennai",₹899,2.6 (17 Ratings),"Hair Dryer, Reception, Free Wifi"
49,OYO Flagship 17298 Kishore Inn,"Koyambedu, Chennai",₹1544,4.5 (1744 Ratings),"Parking Facility, Free Wifi, Power backup"
50,OYO Silverkey 76499 G Cloud,"Near Annaji Nagar, Mariamman Kovil Cross Street, Chennai",₹999,4 (830 Ratings),"Free Wifi, Caretaker, Geyser"
51,OYO Townhouse 613 Ashok Nagar,"9th Avenue, Near Ashok Pillar",₹2253,4.4 (1769 Ratings),"Private Entrance, Parking Facility, Reception"
52,Capital O 66763 Blossoms Serviced Apartments ,"Near Panagal Park, Tnagar,Chennai",₹1299,4.2 (224 Ratings),"Parking Facility, Reception, Free Wifi"
53,Collection O 83897 Chennai Guest House,"koyembedu , Chennai",₹999,4.2 (176 Ratings),"Reception, Power backup, Security"
54,OYO 81046 The Golden Tulip Residency,"Near Casino Theater, Meeran Sahib street, Chennai",₹899,2.9 (69 Ratings),"Parking Facility, Elevator, Reception"
55,Collection O 85458 Royal Residency,"India, Chennai",₹1524,Unrated (New - No Ratings),"Parking Facility, Reception, Ticket Tour Assistance"
56,Capital O 72601 Amutha Residency,"Near Jamia Masjid, Mogappair East, Chennai",₹1014,4 (101 Ratings),"Reception, Free Wifi, CCTV Cameras"
57,OYO 24963 Hotel Sudha Inn,"Near  railway hospital, Egmore, Chennai",₹1299,3.5 (61 Ratings),"Parking Facility, Free Wifi, Power backup"
58,OYO 86010 T NAGAR Residency,"Chennai , Chennai",₹1231,Unrated (New - No Ratings),"Reception, Washing Machine, Power backup"
59,OYO Flagship 41757 Gemini Guest House,"Near Arasi Mess, Chepauk, Chennai",₹1216,4.1 (8 Ratings),"Reception, Geyser, Power backup"
60,OYO 62543 Sai Nalam Hotels,"Near Presidency College Ground, Chennai",₹1014,2.9 (102 Ratings),"Elevator, Free Wifi, Geyser"
61,Capital O 14933 RPR Residency,"Luz Church Road, Chennai",₹1299,4 (46 Ratings),"Parking Facility, Free Wifi, Power backup"
62,SPOT ON 80584 Pudur Lucky Mansion ,"India, Chennai",₹758,3.3 (3 Ratings),"Reception, Daily Housekeeping, Security"
63,OYO Flagship 68295 Sharma Tourist Home ,"Arumbakkam, Chennai",₹1315,5 (1 Ratings),"Hair Dryer, Reception, Free Wifi"
64,OYO Flagship 5765 Chennai Residency T Nagar,"Near Pantaloons, N Usman Rd, Parthasarathi Puram, T. Nagar",₹899,3.7 (705 Ratings),"Parking Facility, Free Wifi, Power backup"
65,Oyo Home 41633 G-Cloud,"Chennai, Chennai",₹999,4.2 (1134 Ratings),"Free Wifi, AC, TV"
66,OYO 78419 Collection O Prime Santhome Inn,"Santhome High Road, Chennai",₹1014,3.6 (176 Ratings),"AC, AC, TV"
67,Capital O 72249 Saravana Boutique Inn,"Near Mirsahibpet Market, Royapettah, Chennai ",₹1299,3.5 (884 Ratings),"Free Wifi, AC, CCTV Cameras"
68,SPOT ON 78529 Rr Guest House,"13-266, 2/36 , Valayapathy Street, Mogappair East, Next to JJ Nagar East Police Station, Chennai - 600037",₹799,3.1 (143 Ratings),"Reception, Daily Housekeeping, Fire-Extinguisher"
69,OYO 40850 Orchid Inn,"Near Express Avenue Mall, Chennai",₹1199,2.8 (189 Ratings),"Parking Facility, Reception, Free Wifi"
70,SPOT ON 43912 3star Guest House,"Near gold guest house, MMDA Colony, Chennai",₹699,2.6 (123 Ratings),"TV, Reception, AC"
71,SPTO ON 72757 Gold Guest House,"Near CMBT Bus Stop, Arumbakkam, Chennai",₹799,3.3 (70 Ratings),"Parking Facility, Reception, Free Wifi"
72,SPOT ON 73481 Tamil Guest House,"Near The Vijay Park, Jawaharlal Nehru Road, Chennai",₹799,3.1 (71 Ratings),"Private Entrance, Reception, Free Wifi"
73,Collection O 84256 Balaji Residency,"4, E Road ,Koyembedu, Near Omni Bus Stand",₹1199,4.1 (12 Ratings),"Doctor on Call, Reception, Cot"
74,OYO 82475 Beach Home,"Near D1 Police station Triplicane and Omandurar TN multispeciality hospital, Chennai",₹1199,2.3 (31 Ratings),"Hair Dryer, Parking Facility, Reception"
75,SPOT ON 47779 Thirugnanasamandham Rooms,"Near GS Hospital, Kamarajar Salai, Chennai",₹799,3.3 (25 Ratings),"Reception, CCTV Cameras, Fire-Extinguisher"
76,SPOT ON 49470 Shappy Inn,"Near Koyambedu Metro Station, Chennai",₹849,3.2 (57 Ratings),"Reception, Free Wifi, Geyser"
77,OYO Flagship 49129 Shree Shylee's Niwas,"Near Nakshatra Skin and Hair Clinic, Kodambakkam",₹1199,4.1 (33 Ratings),"Reception, AC, Power backup"
78,Townhouse 850 The Redfox Hotel,"India, Chennai",₹2143,Unrated (New - No Ratings),"Reception, Power backup, Security"
79,OYO Townhouse 056 T Nagar Chennai,"Near tnagar bus stop, Parthasarathi Puram, Chennai",₹1669,3.9 (2751 Ratings),"Hair Dryer, Private Entrance, Parking Facility"
80,OYO 79999 Supreme Residency T Nagar,"Near Bus Stand ,25, Muthurangam St, T Nagar",₹1341,4 (474 Ratings),AC
81,OYO Flagship 36726 Chellam Residency,"Near Arumbakkam Megamart, Sai Chellam Complex, Chennai",₹899,3.6 (226 Ratings),"Reception, Power backup, Security"
